date,groupes,genre,renouveau,statut,duree,ministre,theme,total
2017-07-25,LREM,H,nouveaux,reponse,2,Ministère de l'agriculture et de l'alimentation,élevage,1
2017-07-25,LREM,H,nouveaux,reponse,2,Ministère de la transition écologique et solidaire,catastrophes naturelles,1
2017-07-25,LREM,H,nouveaux,reponse,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,transports ferroviaires,1
2017-07-25,LREM,H,nouveaux,reponse,3,Ministère de l’intérieur,communes,1
2017-07-25,MODEM,F,nouveaux,attente,3,Ministère des solidarités et de la santé,pharmacie et médicaments,1
2017-07-25,MODEM,F,nouveaux,attente,3,Secrétariat d'État, auprès du Premier ministre, chargé des personnes handicapées,personnes handicapées,1
2017-07-25,MODEM,F,nouveaux,reponse,3,Ministère de l'action et des comptes publics,fonctionnaires et agents publics,1
2017-07-25,MODEM,F,nouveaux,reponse,3,Ministère du travail,emploi et activité,1
2017-07-25,NG,F,anciens,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,transports ferroviaires,1
2017-07-25,NG,F,anciens,attente,3,Ministère de l'éducation nationale,enseignement,1
2017-07-25,NG,F,anciens,attente,3,Ministère de l'enseignement supérieur, de la recherche et de l'innovation,enseignement supérieur,1
2017-07-25,NG,F,anciens,attente,3,Ministère de la cohésion des territoires,administration,1
2017-07-25,NG,F,anciens,attente,3,Ministère de la cohésion des territoires,ruralité,1
2017-07-25,NG,F,anciens,attente,3,Ministère des solidarités et de la santé,professions de santé,1
2017-07-25,NG,F,anciens,reponse,1,Ministère de l'agriculture et de l'alimentation,retraites : régime agricole,1
2017-07-25,NG,H,anciens,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,aménagement du territoire,1
2017-07-25,NG,H,anciens,attente,3,Ministère de l'économie et des finances,commerce extérieur,1
2017-07-25,NG,H,anciens,attente,3,Ministère de l'éducation nationale,enseignement,1
2017-07-25,NG,H,anciens,attente,3,Ministère du travail,élus,1
2017-07-25,NG,H,anciens,reponse,0,Ministère des solidarités et de la santé,dépendance,1
2017-07-25,NG,H,anciens,reponse,3,Ministère de l'agriculture et de l'alimentation,agroalimentaire,1
2017-07-25,NG,H,nouveaux,reponse,1,Ministère de l’intérieur,police,1
